marketing_area,Restaurant,Pastry,Meat Shop,Ice Cream and Juice Shop,Fruit Shop,Cafe,Bakery
سعادت آباد - شهرک غرب,144,26,12,20,23,30,14
هفت تیر - انقلاب - ولیعصر - فردوسی,180,32,15,25,29,37,17
عباس آباد - سید خندان - قصر‎‎,163,29,14,23,26,34,15
جردن - ونک,157,28,13,22,25,33,15
قیطریه-اندرزگو-دولت,151,27,13,21,24,31,14
صادقیه - ستارخان - مرزداران,115,21,10,16,18,24,11
تهرانپارس-حکیمیه,102,18,8,14,16,21,10
پونک - باغ فیض‎,93,17,8,13,15,19,9
نارمک - مجیدیه,92,17,8,13,15,19,9
فردوس - کاشانی - شهر زیبا,90,16,8,13,14,19,9
یوسف آباد - امیرآباد - گیشا‎,100,18,8,14,16,21,9
نیاوران‎ - آجودانیه,128,23,11,18,20,27,12
ظفر - میرداماد,114,21,9,16,18,24,11
ولنجک - زعفرانیه,112,20,9,16,18,23,11
پاسداران - هروی -دروس,104,19,9,14,17,22,10
آزادی - جی - نواب‎,74,13,8,10,12,16,7
جنت آباد - شهران‎,90,16,12,13,14,19,9
پیروزی - نیرو هوایی,53,10,8,10,9,11,5
شادآباد-خلیج فارس-تهرانسر,43,8,6,8,7,9,5
دریاچه- شهرک گلستان - دهکده المپیک,53,10,11,12,9,11,5
اکباتان-آپادانا,92,17,10,13,15,19,9
نظام آباد‎‎,51,9,8,11,8,11,5
بازار - منیریه - گمرک,52,9,8,10,8,11,5
شهرری,51,9,8,10,8,11,5
یافت آباد - مهرآباد جنوبی,39,7,6,8,6,8,4
دروازه شمیران-میدان شهدا,54,10,8,11,9,11,5
افسریه - آهنگ,39,7,4,5,6,8,3
نازی آباد,46,8,5,6,7,10,3
مینی سیتی - ازگل - دارآباد‎‎,73,13,8,12,12,15,7
میدان خراسان - شوش,35,6,4,8,6,7,3
نعمت آباد - عبدل آباد,24,4,4,6,4,5,2
ورداورد - شهرک چیتگر ,31,6,5,4,5,6,3
